id,filename,similarity,source_target_similarity,improvement
137,WNL Organic Food,0.9275690118096195,0.8549202476461235,0.07264876416349597
138,WNL Pacific Islanders,0.4532226612425938,0.8923079846096162,-0.43908532336702244
139,WNL Pizza chain,0.9415690716853389,0.9645379218916876,-0.022968850206348757
140,WNL Planet,0.9382285922252687,0.9744408432938791,-0.03621225106861048
141,WNL Poverty,0.9191771341366578,0.9491575393196214,-0.029980405182963632
142,WNL Revolution,0.9251027356649898,0.9022196524004504,0.02288308326453936
143,WNL Rwanda,0.9272282288803957,0.9455018016775754,-0.01827357279717967
144,WNL Satnav,0.932806876460787,0.9372113554212214,-0.004404478960434388
145,WNL Scarlett,0.9342228260454033,0.9091901820280961,0.025032644017307204
146,WNL School Sports,0.9350427618265715,0.9516425189357991,-0.016599757109227564
147,WNL School,0.9424840992663919,0.9709605130657246,-0.028476413799332745
148,WNL Scientist,0.9379543394139973,0.8754991934729591,0.06245514594103818
149,WNL Scottish referendum,0.92572848215279,0.9370777465870588,-0.011349264434268758
150,WNL SeaWorld,0.9363734381389034,0.9201960430721126,0.016177395066790834
151,WNL Shakespeare,0.35249515127760517,0.8470942462378621,-0.49459909496025695
152,WNL shark,0.9386530388251831,0.973147201570653,-0.0344941627454699
153,WNL Ships noise,0.5090684436046959,0.96536541568809,-0.45629697208339404
154,WNL Shocking,0.5262716279996491,0.9277419916279775,-0.40147036362832844
155,WNL Shops,0.9704278609927478,0.9483393779520402,0.02208848304070765
156,WNL six well paid jobs,0.9190811108972345,0.9536127889509239,-0.034531678053689396
157,WNL Six year olds,0.673212005031774,0.9296794429073085,-0.2564674378755345
158,WNL Spain Robin Hood,0.9054007382353294,0.8986890474809932,0.006711690754336197
159,WNL Spain Wetlands,0.9239130307573584,0.8950695742176158,0.02884345653974263
160,WNL Star Wars,0.37376116836958256,0.793104845193014,-0.4193436768234315
161,WNL Still no flying cars,0.9473823473694114,0.8575913103444635,0.08979103702494795
162,WNL Swarthy caveman,0.9679103334470431,0.9572159113344227,0.010694422112620394
163,WNL Switched Babies,0.536738935897572,0.9727583818550766,-0.4360194459575045
164,WNL Ten ideas,0.6587138723298878,0.9526112694684173,-0.2938973971385296
165,WNL The age of music,0.9360186690218854,0.9371870361397775,-0.001168367117892144
166,WNL The Greek island,0.950314365852281,0.9402963638971619,0.010018001955119149
167,WNL The last,0.9556626487853394,0.9732242000252647,-0.01756155123992531
168,WNL The lightweight,0.5995753966430624,0.9153401416438477,-0.31576474500078533
169,WNL The millenials,0.9107734723744909,0.9068768859031237,0.0038965864713672582
170,WNL Tributes,0.9628077643359236,-0.007720277596383433,0.970528041932307
171,WNL Use of e-cig,0.9568642346349812,-0.015223757326589517,0.9720879919615707
172,WNL Vienna,0.9327535498641347,0.9411790041006044,-0.008425454236469676
173,WNL Waiters,0.9408045382296162,0.9377416964284222,0.003062841801193983
174,WNL Ways Facebook changed,0.9423843569891659,0.9486387798733815,-0.006254422884215627
175,WNL We must,0.9178384600449379,0.9165863203921052,0.0012521396528326623
176,WNL Wealth therapy,0.9426401620195816,0.8161748870873473,0.12646527493223425
177,WNL What does Apple,0.9262962514569871,0.9491062207394273,-0.022809969282440168
178,WNL What is world's,0.9330572135458555,0.6669046951725043,0.2661525183733512
179,WNL What's the secret,0.949660743840604,0.9314147007759846,0.0182460430646193
180,WNL Who can stop Trump,0.9153304599437397,0.8096606925631595,0.1056697673805802
181,WNL Who invented,0.9526852584475046,0.8917073693282347,0.060977889119269935
182,WNL Why are people so wrong,0.9331449771942941,0.9814747540932818,-0.04832977689898765
183,WNL Why we should ,0.9537958100387902,0.9434736952127191,0.01032211482607115
184,WNL Why you should start work at 10,0.9307033833505808,0.9671469863663047,-0.03644360301572391
185,WNL Will drones,0.4889541339165884,0.9130205739315993,-0.4240664400150109
186,WNL Winter,0.9309443917568241,0.9125532338920053,0.01839115786481882
187,WNL World Cup,0.93727957262362,0.9224458471062081,0.014833725517411911
188,WNL Young Americans,0.5378469532201786,0.9348310629837417,-0.39698410976356313
189,Zero Hours,0.9311458622499361,0.9061531870573397,0.024992675192596403
